Veritrace_ID,USTC_ID,Added by,Subcorpus,Subcorpus_2 (if any),CRC_Type,USTC copies,Principal Author,Additional Author,Additional Author2,Additional Author3,Additional Author4,Additional Author5,Contributor,Contributor2,Contributor3,Translator,Short Title,Imprint,Format,Pagination,Place of Printing,Printer/Publisher,Printer/Publisher2,Printer/Publisher3,Date of Publication,Language,USTC Permalink,GW_ID,GW_URL,ISTC_ID,ISTC URL,MEI URL,Verzeichnis 16. Jahrhunders ID (VD16) ID,VD16 Permalink,OPAC SBN ID,OPAC SBN URL,ESTC,SOURCE COMMENTS (Input),Dannenfeldt Cat.,Verified Digital Copy URL,MDZ Link,TaxonomyID,Copy-text?,Taxonomy
38,146728.0,,Sibylline Oracles,Chaldean Oracles,,92.0,"Opsopoeus, Johannes","Castellio, Sebastianus ",,,,,,,,,"Sibylliakoi chrēsmoi hoc est, Sibyllina oracula ex veteris codicibus aucta, renovata, et notis illustrata. Cum interpretatione Latina et indice","Paris, Abel L'Angelier [et] [Compagnie de la Grand-Navire], 1599",8°,pp. [16] 524 71 [=73 3],Paris ,"L'Angelier, Abel",Compagnie de la Grand-Navire,,1599,Greek,https://www.ustc.ac.uk/editions/146728,,,,,,,,MODE050182,http://id.sbn.it/bid/MODE050182,,Dannenfeldt 1960b (159),,https://babel.hathitrust.org/cgi/pt?id=ucm.5323830793&seq=9,"https://www.digitale-sammlungen.de/en/view/bsb10169455?page=,1",,,
37,997569.0,,Hermetic Corpus,,,20.0,"Apuleius, Lucius",,,,,,"Bussi, Giovanni Andrea (Editor)",,,,Opera,"Milano, Leonardus Pachel, 7 August 1497",2°,ff. [118],Milano,"Pachel, Leonardus",,,1497,Latin,https://www.ustc.ac.uk/editions/997569,GW02304,https://www.gesamtkatalogderwiegendrucke.de/docs/GW02304.htm,ia00937000,https://data.cerl.org/istc/ia00937000,https://data.cerl.org/mei/02003290,,,NAPE072678,http://id.sbn.it/bid/NAPE072678,,"Dannenfeldt 1960a (146); five MEI URLS listed, I've only added one. ",,No download link provided or found anywhere else; this edition may not include the Asclepius.,,,,
35,997571.0,,Hermetic Corpus,,,89.0,"Apuleius, Lucius",,,,,,"Bussi, Giovanni Andrea (Editor)",,,,Opera,"Vicenza, Henricus de Sancto Ursio Zenus, 9 August 1488",2°,ff. [178],Vicenza,"Zenus, Henricus de Sancto Ursio",,,1488,Latin,https://www.ustc.ac.uk/editions/997571,GW02302,https://www.gesamtkatalogderwiegendrucke.de/docs/GW02302.htm,ia00935000,https://data.cerl.org/istc/ia00935000,https://data.cerl.org/mei/02149223,,,VIAE042646,http://id.sbn.it/bid/VIAE042646,,"Dannenfeldt 1960a (146); ten different MEI URLS listed, I've only added one. ",,https://daten.digitale-sammlungen.de/~db/0005/bsb00050598/images/,,,,
34,997572.0,,Hermetic Corpus,,,50.0,"Apuleius, Lucius",,,,,,"Bussi, Giovanni Andrea (Editor)",,,,Opera,"Roma, In domo Petri de Maximis, [Konrad Sweynheym, and Arnoldus Pannartz], 28 February 1469",2°,ff. [178],Roma,"Sweynheym, Konrad","Pannartz, Arnoldus",,1469,Latin,https://www.ustc.ac.uk/editions/997572,GW02301,https://www.gesamtkatalogderwiegendrucke.de/docs/GW02301.htm,ia00934000,https://data.cerl.org/istc/ia00934000,https://data.cerl.org/mei/_search?query=data.hostItemId:ia00934000,,,VEAE126341,http://id.sbn.it/bid/VEAE126341,,Dannenfeldt 1960a (146),,https://daten.digitale-sammlungen.de/~db/0003/bsb00035643/images/index.html,,,,
33,2522145.0,,Hermetic Corpus,,,7.0,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander Hermetis Mercurii Trismegisti Cum Commentariis, R. P. F. Hannibalis Rosseli: Opus Vere Aureum Reconditaque Sapientia refertissimum, ac proinde cuiuis arcana Dei scire cupienti utilissimum","Coloniae Agrippinae, Cholinus, 1630",2°,pp. [4] 204,Köln,"Cholinus, Peter",,,1630,Latin,https://www.ustc.ac.uk/editions/2522145,,,,,,,,,,,Dannenfeldt 1960a (140),,"USTC title is vague and doesn't mention the exact volume number (I believe it's 6 volumes), so I can't add one here. ",,,,
130,2136995.0,,Hermetic Corpus,,,14.0,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander Hermetis Mercurii Trismegisti Cum Commentariis, R. P. F. Hannibalis Rosseli Calabri ... : Opus Vere Aureum Reconditaque Sapientia refertissimum, ac proinde cuiuis arcana Dei scire cupienti utilissimum Teil: 2: In quo agitur de Spiritu S.","Coloniae Agrippinae, Cholinus, 1630",2°,,Köln,"Cholinus, Peter",,,1630,Latin,https://www.ustc.ac.uk/editions/2136995,,,,,,,,,,,Dannenfeldt 1960a (144),,https://www.google.be/books/edition/Divinus_Pymander_Hermetis_Mercurii_Trism/k91CAAAAcAAJ?hl=it&gbpv=0,,,,
129,2136994.0,,Hermetic Corpus,,,5.0,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander Hermetis Mercurii Trismegisti, Cum Commentariis R. P. F. Hannibalis Rosseli ... : Opus Vere Aureum Reconditaque Sapientia refertissimum, ac proinde cuiuis arcana Dei scire cupienti utilissimum Teil: 1: In quo agitur de S. S. Trinitate Acc","Köln, Peter Cholinus, 1630",2°,,Köln,"Cholinus, Peter",,,1630,Latin,https://www.ustc.ac.uk/editions/2136994,,,,,,,,,,,Dannenfeldt 1960a (144),,https://www.google.be/books/edition/Divinus_Pymander_Hermetis_Mercurii_Trism/o_eDF8KMeT8C?hl=it&gbpv=0,,,,
90,2073428.0,,Chaldean Oracles,,,11.0,,,,,,,,,,,"Trinum Magicum, Sive Secretorum Magicorum Opus : Continens I. De Magia Naturali, Artificiosa [et] Superstitiosa Disquisitiones Axiomaticas. II. Theatrum Naturae praeter Curam Magneticam, [et] veterum Sophorum Sigilla [et] Imagines Magicas ... III. Oracula","Frankfurt am Main, Konrad Eifried, 1630",12°,"pp. [22], 498",Frankfurt am Main,"Eifried, Konrad",,,1630,Latin,https://www.ustc.ac.uk/editions/2073428,,,,,,,,,,,Dannenfeldt 1960b (161),,"https://www.google.be/books/edition/Trinum_magicum_sive_Secretorum_magicorum/18Y5AAAAcAAJ?hl=it&gbpv=1&dq=Trinum+Magicum,+Sive+Secretorum+Magicorum+Opus&printsec=frontcover",,,,
131,2021311.0,,Hermetic Corpus,,,9.0,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander Hermetis Mercurii Trismegisti Cum Commentariis, R. P. F. Hannibalis Rosseli Calabri ... : Opus Vere Aureum Reconditaque Sapientia refertissimum, ac proinde cuiuis arcana Dei scire cupienti utilissimum Teil: 3: In quo agitur de ente, mater","Köln, Peter Cholinus, 1630",2°,,Köln,"Cholinus, Peter",,,1630,Latin,https://www.ustc.ac.uk/editions/2021311,,,,,,,,,,,Dannenfeldt 1960a (144),,https://www.google.be/books/edition/Divinus_Pymander_Hermetis_Mercurii_Trism/o91CAAAAcAAJ?hl=it&gbpv=0,,,,
133,2008296.0,,Hermetic Corpus,,,13.0,"Rosselli, Annibale",,,,,,,,,,"Divinus Pymander Hermetis Mercurii Trismegisti Cum Commentariis, R. P. F. Hannibalis Rosseli Calabri ... : Opus Vere Aureum Reconditaque Sapientia refertissimum, ac proinde cuiuis arcana Dei scire cupienti utilissimum Teil: 5: In quo agitur de Elementis","Köln, Peter Cholinus, 1630",2°,,Köln,"Cholinus, Peter",,,1630,Latin,https://www.ustc.ac.uk/editions/2008296,,,,,,,,,,,Dannenfeldt 1960a (144),,https://www.google.be/books/edition/Divinus_Pymander_Hermetis_Mercurii_Trism/0N1CAAAAcAAJ?hl=it&gbpv=0,,,,
